"Resolving XML external entity in user-controlled data","Parsing user-controlled XML documents and allowing expansion of external entity references may lead to disclosure of confidential data or denial of service.","error","XML parsing depends on a [[""user-provided value""|""relative:///bundles/demo/src/main/java/actions/osgi/HelloWorldAction.java:9:21:9:27""]] without guarding against external entity expansion.","/core/src/main/java/com/opensymphony/xwork2/util/DomHelper.java","115","26","115","36"
"OGNL Expression Language statement with user-controlled input","Evaluation of OGNL Expression Language statement with user-controlled input can lead to execution of arbitrary code.","error","OGNL Expression Language statement depends on a [[""user-provided value""|""relative:///bundles/demo/src/main/java/actions/osgi/HelloWorldAction.java:9:21:9:27""]].","/core/src/main/java/com/opensymphony/xwork2/DefaultTextProvider.java","84","31","84","33"
"OGNL Expression Language statement with user-controlled input","Evaluation of OGNL Expression Language statement with user-controlled input can lead to execution of arbitrary code.","error","OGNL Expression Language statement depends on a [[""user-provided value""|""relative:///bundles/demo/src/main/java/actions/osgi/HelloWorldAction.java:9:21:9:27""]].","/core/src/main/java/com/opensymphony/xwork2/ActionSupport.java","103","53","103","64"
"OGNL Expression Language statement with user-controlled input","Evaluation of OGNL Expression Language statement with user-controlled input can lead to execution of arbitrary code.","error","OGNL Expression Language statement depends on a [[""user-provided value""|""relative:///bundles/demo/src/main/java/actions/osgi/HelloWorldAction.java:9:21:9:27""]].","/core/src/main/java/com/opensymphony/xwork2/ActionSupport.java","111","42","111","44"
"OGNL Expression Language statement with user-controlled input","Evaluation of OGNL Expression Language statement with user-controlled input can lead to execution of arbitrary code.","error","OGNL Expression Language statement depends on a [[""user-provided value""|""relative:///bundles/demo/src/main/java/actions/osgi/HelloWorldAction.java:9:21:9:27""]].","/core/src/main/java/com/opensymphony/xwork2/DefaultTextProvider.java","131","24","131","26"
"OGNL Expression Language statement with user-controlled input","Evaluation of OGNL Expression Language statement with user-controlled input can lead to execution of arbitrary code.","error","OGNL Expression Language statement depends on a [[""user-provided value""|""relative:///bundles/demo/src/main/java/actions/osgi/HelloWorldAction.java:9:21:9:27""]].","/core/src/main/java/com/opensymphony/xwork2/CompositeTextProvider.java","146","52","146","63"
"OGNL Expression Language statement with user-controlled input","Evaluation of OGNL Expression Language statement with user-controlled input can lead to execution of arbitrary code.","error","OGNL Expression Language statement depends on a [[""user-provided value""|""relative:///bundles/demo/src/main/java/actions/osgi/HelloWorldAction.java:9:21:9:27""]].","/core/src/main/java/com/opensymphony/xwork2/CompositeTextProvider.java","195","47","195","49"
"OGNL Expression Language statement with user-controlled input","Evaluation of OGNL Expression Language statement with user-controlled input can lead to execution of arbitrary code.","error","OGNL Expression Language statement depends on a [[""user-provided value""|""relative:///bundles/demo/src/main/java/actions/osgi/HelloWorldAction.java:9:21:9:27""]].","/core/src/main/java/com/opensymphony/xwork2/ognl/OgnlReflectionProvider.java","49","32","49","36"
"OGNL Expression Language statement with user-controlled input","Evaluation of OGNL Expression Language statement with user-controlled input can lead to execution of arbitrary code.","error","OGNL Expression Language statement depends on a [[""user-provided value""|""relative:///bundles/demo/src/main/java/actions/osgi/HelloWorldAction.java:9:21:9:27""]].","/core/src/main/java/com/opensymphony/xwork2/ognl/OgnlReflectionProvider.java","58","32","58","41"
"OGNL Expression Language statement with user-controlled input","Evaluation of OGNL Expression Language statement with user-controlled input can lead to execution of arbitrary code.","error","OGNL Expression Language statement depends on a [[""user-provided value""|""relative:///bundles/demo/src/main/java/actions/osgi/HelloWorldAction.java:9:21:9:27""]].","/core/src/main/java/com/opensymphony/xwork2/ognl/OgnlReflectionProvider.java","91","30","91","33"
